city,latitude,longitude,average_temp,lat,lon
Kabul,34.56N,"70.05E",25.002,34.56,70.05
Kabul,34.56N,"70.05E",25.579,34.56,70.05
Kabul,34.56N,"70.05E",24.189,34.56,70.05
Kabul,34.56N,"70.05E",21.573,34.56,70.05
Kabul,34.56N,"70.05E",16.429,34.56,70.05
Kabul,34.56N,"70.05E",9.544,34.56,70.05
Kabul,34.56N,"70.05E",5.717,34.56,70.05
Kabul,34.56N,"70.05E",3.486,34.56,70.05
Kabul,34.56N,"70.05E",4.638,34.56,70.05
Kabul,34.56N,"70.05E",8.62,34.56,70.05
Kabul,34.56N,"70.05E",13.964,34.56,70.05
Kabul,34.56N,"70.05E",23.102,34.56,70.05
Kabul,34.56N,"70.05E",26.256,34.56,70.05
Kabul,34.56N,"70.05E",26.8,34.56,70.05
Kabul,34.56N,"70.05E",25.509,34.56,70.05
Kabul,34.56N,"70.05E",22.932,34.56,70.05
Kabul,34.56N,"70.05E",15.493,34.56,70.05
Kabul,34.56N,"70.05E",10.774,34.56,70.05
Kabul,34.56N,"70.05E",3.791,34.56,70.05
Kabul,34.56N,"70.05E",2.255,34.56,70.05
Kabul,34.56N,"70.05E",3.337,34.56,70.05
Kabul,34.56N,"70.05E",8.427,34.56,70.05
Kabul,34.56N,"70.05E",13.721,34.56,70.05
Kabul,34.56N,"70.05E",18.342,34.56,70.05
Kabul,34.56N,"70.05E",24.91,34.56,70.05
Kabul,34.56N,"70.05E",26.34,34.56,70.05
Kabul,34.56N,"70.05E",24.991,34.56,70.05
Kabul,34.56N,"70.05E",21.734,34.56,70.05
Kabul,34.56N,"70.05E",15.073,34.56,70.05
Kabul,34.56N,"70.05E",9.888,34.56,70.05
Kabul,34.56N,"70.05E",5.823,34.56,70.05
Kabul,34.56N,"70.05E",2.744,34.56,70.05
Kabul,34.56N,"70.05E",3.579,34.56,70.05
Kabul,34.56N,"70.05E",7.506,34.56,70.05
Kabul,34.56N,"70.05E",13.253,34.56,70.05
Kabul,34.56N,"70.05E",17.725,34.56,70.05
Kabul,34.56N,"70.05E",24.481,34.56,70.05
Kabul,34.56N,"70.05E",25.471,34.56,70.05
Kabul,34.56N,"70.05E",24.344,34.56,70.05
Kabul,34.56N,"70.05E",20.66,34.56,70.05
Kabul,34.56N,"70.05E",15.381,34.56,70.05
Kabul,34.56N,"70.05E",10.72,34.56,70.05
Kabul,34.56N,"70.05E",6.377,34.56,70.05
Kabul,34.56N,"70.05E",2.028,34.56,70.05
Kabul,34.56N,"70.05E",7.012,34.56,70.05
Kabul,34.56N,"70.05E",7.365,34.56,70.05
Kabul,34.56N,"70.05E",15.28,34.56,70.05
Kabul,34.56N,"70.05E",20.734,34.56,70.05
Kabul,34.56N,"70.05E",24.757,34.56,70.05
Kabul,34.56N,"70.05E",25.201,34.56,70.05
Kabul,34.56N,"70.05E",24.733,34.56,70.05
Kabul,34.56N,"70.05E",21.746,34.56,70.05
Kabul,34.56N,"70.05E",14.71,34.56,70.05
Kabul,34.56N,"70.05E",10.189,34.56,70.05
Kabul,34.56N,"70.05E",5.717,34.56,70.05
Kabul,34.56N,"70.05E",3.403,34.56,70.05
Kabul,34.56N,"70.05E",3.196,34.56,70.05
Kabul,34.56N,"70.05E",10.333,34.56,70.05
Kabul,34.56N,"70.05E",12.907,34.56,70.05
Kabul,34.56N,"70.05E",20.976,34.56,70.05
Kabul,34.56N,"70.05E",26.435,34.56,70.05
Kabul,34.56N,"70.05E",26.583,34.56,70.05
Kabul,34.56N,"70.05E",25.928,34.56,70.05
Kabul,34.56N,"70.05E",19.371,34.56,70.05
Kabul,34.56N,"70.05E",14.61,34.56,70.05
Kabul,34.56N,"70.05E",11.429,34.56,70.05
Kabul,34.56N,"70.05E",4.14,34.56,70.05
Kabul,34.56N,"70.05E",2.581,34.56,70.05
Kabul,34.56N,"70.05E",5.036,34.56,70.05
Kabul,34.56N,"70.05E",8.67,34.56,70.05
Kabul,34.56N,"70.05E",13.385,34.56,70.05
Kabul,34.56N,"70.05E",20.888,34.56,70.05
Kabul,34.56N,"70.05E",26.227,34.56,70.05
Kabul,34.56N,"70.05E",26.914,34.56,70.05
Kabul,34.56N,"70.05E",25.37,34.56,70.05
Kabul,34.56N,"70.05E",21.54,34.56,70.05
Kabul,34.56N,"70.05E",15.688,34.56,70.05
Kabul,34.56N,"70.05E",10.712,34.56,70.05
Kabul,34.56N,"70.05E",3.424,34.56,70.05
Kabul,34.56N,"70.05E",1.852,34.56,70.05
Kabul,34.56N,"70.05E",5.677,34.56,70.05
Kabul,34.56N,"70.05E",8.967,34.56,70.05
Kabul,34.56N,"70.05E",15.329,34.56,70.05
Kabul,34.56N,"70.05E",19.381,34.56,70.05
Kabul,34.56N,"70.05E",25.098,34.56,70.05
Kabul,34.56N,"70.05E",26.314,34.56,70.05
Kabul,34.56N,"70.05E",24.688,34.56,70.05
Kabul,34.56N,"70.05E",22.84,34.56,70.05
